name,sogae,jungbo,eyong_time,entrence_fee,jangso_property,objectivity,objectivity_etc,soyo_time,difficulty,convenience,etc,real_sogae,plc_address,plc_call,plc_tags,x,y,emd,tags,tag_count,b_parking,b_elevator,b_toilet,b_toilet_space,b_seat,b_anneso,b_dolbom
우도(해양도립공원),소가 누워있는 형상을 하고 있는 제주의 가장 큰 부속섬,"우도 외부차량(렌터카, 전세버스) 반입 제한(2022년 7월 31일까지). 단, 1~3급 장애인과 만 65세 이상 노약자, 임산부, 만 6세 미만의 영유아를 동반하는 경우와 우도에 숙박하는 관광객이 탄 렌터카는 반입 가능","평일 : 00:00 ~ 00:00 , 주말 : 00:00 ~ 00:00","유료,일반 입장료 : 1.000원 / 장애인 무료 (선박료 별도)",실내+실외,"체험,포토스팟,기타,등산,물놀이",우도 관광,1~2시간,상,"공용주차장,화장실,편의점,음료대",UNESCO 세계지질공원,"우도는 소가 누워있는 모양을 닮았다고 해서 일찍부터 소섬 또는 쉐섬으로 불리웠다. 완만한 경사와 옥토, 풍부한 어장, 우도팔경 등 천혜의 자연조건을 갖춘 관광지로써 한해 약 200만 명의 관광객이 찾는 제주의 대표적인 부속섬이다. 성산항과 종달항에서 우도가는 배를 탈 수 있는데 어디서 출발하든 15분 정도 소요된다. 섬의 길이는 3.8km, 둘레는 17km. 쉬지 않고 걸으면 3~4시간 걸리는 거리지만, 대부분의 관광객은 버스나 자전거, 미니 전기차를 타고 유명한 관광지 위주로 돌아본다. 검멀레해변이나 우도봉, 홍조단괴해변, 하고수동해변 등 유명한 관광지 1-2개를 둘러보고, 카페나 음식점에서 휴식을 즐겨도 대략 3-4시간 정도 소요된다. 여유있게 우도를 즐기고 싶다면 오전 아침배를 타고 들어가 오후 배를 타고 나와 하루종일 우도에 머물러 보는것도 좋다. 단, 기상에 따라 배 운항여부가 달라질수 있으니 우도 여행일정을 짜는데는 기상조건을 필히 확인해야한다. 우도를 찾는 관광객은 홍조단괴해변, 우도봉, 검멀레 해변을 주로 찾는다. 홍조단괴해변은 산호해변으로도 불렸는데, 백사장을 이룬 하얀 알갱이가 산호가 아닌 홍조류가 딱딱하게 굳어 알갱이처럼 부서지면서 만들어진 것이 밝혀지면서 홍조단괴해변으로 부르며, 홍조류로 이뤄진 백사장은 세계에서 드물어 보호하고 있다. 너른 백사장과 아름다운 바다색으로 유명한 하고수동해수욕장도 있다. 경사가 완만한 천진동 코스와 경치가 멋진검멀레 해안코스가 있으며, 우도봉에 올라 우도의 전경을 바라볼 수도 있다. 자연 절경 이외에도 바다낚시, 자전거 하이킹, 잠수함과 유람선 등을 통해 여행의 재미를 더하고 있다. ※ 우도 외부차량(렌터카, 전세버스) 반입 제한 조치는 2022년 7월 31일까지로 연장되었다.(단, 1~3급 장애인과 만 65세 이상 노약자, 임산부, 만 6세 미만의 영유아를 동반하는 경우와 우도에 숙박하는 관광객이 탄 렌터카는 반입 가능하다.) ",제주특별자치도 제주시 우도면 삼양고수물길 1,(+82) 064-782-5671,#섬속의섬 #경관/포토 #아이 #맑음,126.95101670000001,33.51947195,우도면,"['섬속의섬', '경관/포토', '아이', '맑음']",4,yes,no,yes,no,no,yes,no
성산일출봉(UNESCO 세계자연유산),"바다위에 우뚝 솟아난 수성화산·유네스코 세계자연유산, 천연기념물 제420호, 올레1코스","10월~2월: 07:30~19:00 (매표 마감 17:50) / 3월~9월: 07:00~20:00 (매표 마감 19:00), 매월 첫번째 월요일 휴관(단, 등하산교차로, 우뭇개 전망대, 우뭇개 해안은 무료개방)",,"유료,개인 (성인 5,000원 / 청소년, 군인 2,500원 / 어린이 2,500원), 단체 (성인 4,000원 / 청소년, 군인 2,000원 / 어린이 2,000원)",실외,등산,산책로. 올레코스. 오름,1시간 미만,상,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,음료대,유도 및 안내시설,경보 및 피난시설,임산부 휴게시설","UNESCO 세계자연유산,UNESCO 세계지질공원","현재 성산일출봉은 정부의 사회적 거리두기 방역조치 조정에 따라 이용인원을 제한하여, 하루 1,200명까지만 입장이 가능합니다.방문전에는 전화 등을 통해 이용방법을 미리 확인해주시고, 마스크 착용, 입장전 발열체크, 참석명부 작성 등 방역수침 지침도 준수해주시기 바랍니다.성산일출봉은 제주도의 다른 오름들과는 달리 마그마가 물속에서 분출하면서 만들어진 수성화산체다. 화산활동시 분출된 뜨거운 마그마가 차가운 바닷물과 만나면서 화산재가 습기를 많이 머금어 끈끈한 성질을 띄게 되었고, 이것이 층을 이루면서 쌓인 것이 성산일출봉이다.바다 근처의 퇴적층은 파도와 해류에 의해 침식되면서 지금처럼 경사가 가파른 모습을 띄게 되었다. 생성 당시엔 제주 본토와 떨어진 섬이었는데, 주변에 모래와 자갈등이 쌓이면서 간조 때면 본토와 이어지는 길이 생겼고, 1940년엔 이곳에 도로가 생기면서 현재는 육지와 완벽하게 연결되어 있다.정상에 오르면 너비가 8만여 평에 이르는 분화구를 볼 수 있는데, 그릇처럼 오목한 형태로 안에는 억새 등의 풀이 자라고 있다. 분화구 둘레에는 99개의 고만고만한 봉우리(암석)이 자리하고 있다. 이 모습이 거대한 성과 같다고 해서 '성산(城山)', 해가 뜨는 모습이 장관이라 하여 '일출봉(日出峰)'이라는 이름이 붙었다.전설에 의하면 성산일출봉의 봉오리가 100이었다면, 제주에도 호랑이.사자 같은 맹수가 날 것인데, 하나가 모자라 아흔 아홉이기 때문에 호랑이도 사자도 아니 난다고 한다.성산일출봉에는 제주의 아픈역사도 간직하고 있다.1943년에는 일본군이 이곳을 요새화 하기 위해 일출봉 해안절벽에 24개의 굴을 팠다. 굴속에 폭탄과 어뢰등을 감춰두고 일전에 대비했지만 제대로 사용하지 못하고 패전하였다. 이 굴은 이후 잠녀의 탈의장으로 사용되기도 했다. 성산일출봉과 본토를 잇는 길목은 간조때 길이 터진다 하면 터진목이라 불렀는데, 이곳과 일출봉의 우뭇개 일대에서 4·3항쟁 당시 많은 민간인이 토벌대에 의해 목숨을 잃었다.성산일출봉 정상에 이르는 가파른 계단 길은 숨이 가쁘나, 넉넉히 20분이면 꼭대기에 다다른다.정상에서는 너른 분화구와 그 뒤로 펼쳐지는 바다의 풍경은, 제주의 다른 오름과는 전혀 다른 웅장한 느낌을 준다. 예부터 이곳 정상에서 바라보는 일출광경은 영주10경(제주의 경승지)중에서 으뜸이라 하였고, 이에 매년 12월 31일에는 성산일출축제가 열린다.성산일출봉은 지방기념물로 관리하다 2000년 7월 19일 천연기념물로 지정되었으며, 빼어난 경관과 지질학적 가치를 인정받아 2007년 7월 2일 UNESCO 세계자연유산에 등재되었다. 또한 2010년 10월에는 UNESCO 세계지질공원에 인증되었고, 2011년도 대한민국 자연생태관광 으뜸명소, 2012년 12월 한국관광 기네스 12선에도 선정되었다.   ",제주특별자치도 서귀포시 성산읍 일출로 284-12,(+82) 064-783-0959,#일출 #오름 #경관/포토 #부모,126.93680069999999,33.46223376,성산읍,"['일출', '오름', '경관/포토', '부모']",4,yes,no,yes,yes,no,yes,yes
사려니숲길,"제주 숨은 비경 31, 삼나무 향기에 취하며 걷는 아름답고 청정한 숲길",09:00~17:00 (17:00 까지 퇴장) / 우천 및 폭설 시 통행 제한 있을 수 있으므로 방문 전 유선 확인 필요,,,,,,,,화장실,,"사려니숲길은 제주의 숨은 비경 31곳 중 하나로, 비자림로를 시작으로 물찻오름과 사려니 오름을 거쳐가는 삼나무가 우거진 숲길이다.사려니오름까지 이어지는 숲길이기 때문에 사려니숲길이라고 불린다.‘사려니’는 ‘신성한 숲’ 혹은 ‘실 따위를 흩어지지 않게 동그랗게 포개어 감다’라는 뜻으로 숲길을 거닐면 상쾌한 삼나무 향에 포개진 듯한 느낌을 받을 수 있다.빽빽한 삼나무뿐만 아니라 졸참나무, 서어나무, 때죽나무, 편백나무 등 다양한 수종이 서식하고 있다.다양한 수종이 서식하기 때문에 오소리와 제주족제비를 비롯한 포유류, 팔색조와 참매를 비롯한 조류, 쇠살모사를 비롯한 파충류 등의 보금자리가 되기도 한다.사려니숲길은 본래 숲의 모습이 많이 훼손되지 않아 트래킹을 좋아하는 여행자들이 즐겨 찾는다.지난 2002년 유네스코가 지정한 제주 생물권 보전지역(Biosphere Resev)이기도 하다.숲보호를 위해 자연휴식년제로 '물찻오름'은 탐방을 제한했었으나, 한시적으로 이곳을 개방하는 <사려니숲 에코힐링(Eco-Healing)> 행사가 열리기도 했다.사려니숲길을 걷다가 위를 올려다보면 하늘을 향해 시원하게 쭉쭉 뻗은 삼나무가 그늘을 만들어주고 그 사이로 햇살이 비춘다.여름에는 제아무리 무더운 날에도 숲길 사이로 부는 시원한 바람을 느낄 수 있다.제주에서 청정한 공기를 마시며 몸과 마음을 치유받고 싶다면 방문하기 좋다.붉은 화산송이 길과 빼곡한 삼나무 숲길을 만끽하고 싶다면 사려니 입출구보다는 붉은오름 입출구 쪽으로 가야 한다.□ 사려니숲길 탐방방법♧ 자가용 이용자가 걸어서 탐방을 원할 경우☞ 사려니숲주차장→조릿대숲길→숲길입구(비자림로변)→물찻오름에서 돌아오기(소요시간/3시간∼ 3시간 30분 가량)※ 조릿대 숲길은 노면상태가 나쁘고, 고저차가 있으므로 노약자나 유모차를 끌고온 경우 남조로변 입구 이용☞ 남조로변 사려니숲길 입구 주차 → 물찻오름에서 돌아오기(소요시간/2시간∼2시간 30분)♧ 대중교통 이용자가 걸어서 탐방을 원할 경우☞ 사려니숲길입구 하차(비자림로변, 붉은오름)→ 물찻오름 입구에서 돌아오거나 숲길입구로 이동 대중교통 이용(소요시간/2시간 정도)♧ 단순 탐방(2시간 이내, 관광목적)을 원할 경우☞ 비자림로변 사려니숲길 주변에는 주차 공간 없으므로 남조로변(붉은오름 남쪽) 숲길 주변 주차후 탐방 ",제주특별자치도 제주시 조천읍 교래리 산 137-1,(+82) 064-900-8800,#숲길 #걷기/등산 #친구 #커플 #흐림 #봄,126.6425091,33.40770565,조천읍,"['숲길', '걷기/등산', '흐림', '봄', '함께']",5,no,no,no,no,no,no,no
카멜리아힐,"카멜리아힐은 동양에서 가장 큰 동백 수목원으로 토종 동백부터 아기 동백, 유럽 동백 등 80여 개국 500여 품종의 수많은 동백꽃을 만날 수 있다. 수목원 안에 아기자기한 포토 스폿이 많아 연인과 가족 단위 관광객에게 특히 인기가 높다. 동백꽃이 피는 계절이면 흐드러지게 피어난 동백꽃을 배경으로 멋진 인생 사진을 남기기 위해 찾아드는 발걸음이 끊이지 않는다.","동절기(12월~2월) 08:30~17:00 / 하절기(6월~8월) 08:30~18:00 / 간절기(3월~5월, 9월~11월) 08:30~17:30","평일 : 09:00 ~ 18:30 , 주말 : 09:00 ~ 18:30","유료,성인 8.000원 / 청소년 6.000원 / 어린이, 장애인 5.000원",실외,"공연/전시,포토스팟",,2~3시간,중,"공용주차장,현금결제,카드결제,화장실",우수관광사업체,"태교 여행의 순간을 아름답게 남기고 싶다면 카멜리아힐을 방문해보자.카멜리아힐은 동양에서 가장 큰 동백 수목원으로 토종 동백부터 아기 동백, 유럽 동백 등 80여 개국 500여 품종의 수많은 동백꽃을 만날 수 있다.수목원 안에 아기자기한 포토 스폿이 많아 연인과 가족 단위 관광객에게 특히 인기가 높다.동백꽃이 피는 계절이면 흐드러지게 피어난 동백꽃을 배경으로 멋진 인생 사진을 남기기 위해 찾아드는 발걸음이 끊이지 않는다.어디 동백꽃뿐이랴.여름이 시작되면 파란 하늘을 닮은 수국 꽃이 관람객들을 맞이하고 가을에는 억새와 핑크뮬리가 가을 정원을 가득 채운다.계절마다 새롭게 옷을 갈아입는 덕분에 어느 때에 방문해도 인생샷 100%의 성공률을 자랑한다.곳곳에 걸린 센스 넘치는 가렌더 역시 인생샷 스팟에 한몫 더한다.다양한 문구들이 적힌 가렌더는 별다른 소품 없이도 여행하는 기분을 맘껏 느끼게 한다.이니스프리 CF의 배경으로 알려진 새소리 바람소리길은 물론 제주의 돌담이 이어진 전통 올레길과 노란 전구들이 반짝반짝 빛나는 감성적인 숲길도 사진에 꼭 담아 가야 할 촬영 포인트이다.카멜리아힐을 한 바퀴 둘러볼 경우 대략 40분~1시간20분 정도 소요가 된다.구석구석 탐나는 포토존이 많아 여기저기 사진을 찍다 보면 시간 가는 줄 모른다.관람 시간을 넉넉히 잡고 방문하기를 권한다. ",제주특별자치도 제주 서귀포시 안덕면 병악로 166,(+82) 064-792-0088,#경관/포토 #커플 #아이 #맑음 #겨울 #우수관광사업체,126.3683652,33.29014019,서귀포시,"['경관/포토', '커플', '아이', '맑음', '겨울', '우수관광사업체']",6,yes,no,yes,yes,yes,no,no
협재해수욕장,"비양도, 은모래, 바다가 그려낸 그림같이 아름다운 해변",협재 종합상황실: 064-728-3981(해수욕장 개장기간 동안 운영),,,,,,,,"공용주차장,화장실,편의점,음료대,유도 및 안내시설,경보 및 피난시설",,"제주도 서쪽에 가볼만한 해수욕장을 꼽으라 하면 단연 1,2위로 꼽아 추천하는 곳이 협재해수욕장이다. 제주시 한림읍에 자리하며, 제주올레 14코스의 일부다. 금능해수욕장과 이웃하고 있는 쌍둥이해수욕장이기도 하다. 투명한 물에 에메랄드빛 물감을 서서히 풀어놓은 듯한 바다빛은 보는 것만으로도 힐링이 된다. 썰물 때면 조개껍질이 많이 섞인 은모래빛 백사장이 끝없이 이어진다.바다 앞에는 어린 왕자 속 보아뱀을 삼킨 코끼리 그림 모양의 ‘비양도’가 있다. 비양도와 바다 위로 떨어지는 석양은 이곳에서 놓칠 수 없는 또 하나의 장관이다. 여름에는 야간개장도 하니 야자나무 아래에서 제주도 푸른 밤을 만끽할 수 있다.협재해수욕장은 경사가 완만해 수심이 얕고, 소나무 숲도 있어서 어린이가 있는 가족 단위 여행객의 휴가지로 좋다. 주위에는 다양한 카페와 맛집, 숙소들이 있고, 주변 관광지로는 한림공원, 금능해수욕장, 금능석물원, 월령선인장자생지 등이 있다. ",제주특별자치도 제주시 한림읍 한림로 329-10,(+82) 064-728-3981,#일몰 #해수욕장 #액티비티 #아이 #맑음 #여름,126.23943190000001,33.39374803,한림읍,"['일몰', '해수욕장', '액티비티', '아이', '맑음', '여름']",6,no,no,no,no,no,no,no
월정리해변,달이 머물다 가는’ 제주도의 아름다운 해변,,,,,,,,,"공용주차장,화장실,편의점,음료대,유도 및 안내시설",,"제주도의 동쪽에 위치하고 있는 마을인 '월정리'는 '달이 머문다'는 뜻의 이름을 가진 서정적인 풍경의 마을이다. 아름다운 에메랄드빛 바다가 한 폭의 그림처럼 펼쳐져 있고, 그 위에는 밝은 달이 비친다. 풍경화처럼 아름다운 월정리 해변을 방문한 여행객들은 저마다 다양한 방법으로 해변의 경치를 만끽한다. 특히 수심이 얕은 편이기 때문에 아이를 동반한 가족들이 물놀이를 즐기기 좋다.월정리의 아름다운 풍광이 여행객들 사이에서 점점 유명해질수록 월정리의 해변을 방문하는 사람들이 더욱 늘어났고, 그에 맞춰 다양한 식당과 카페, 숙박시설 등이 많이 들어서 있다. 몇몇 카페는 사람들이 바다를 보며 쉬어갈 수 있도록 의자를 두었는데, 이 의자에 앉아 찍은 사진이 유명해 지면서 하나의 포토스팟이 되기도 했다. 월정리엔 카메라를 들고 제주도 여행의 추억을 담는 사람들의 모습을 쉽게 볼 수 있다.그 밖에 서핑, 스노클링, 카약 등 다양한 수상레포츠를 즐기며 보다 더 역동적으로 해변에서의 즐거움을 만끽하는 사람들도 있다. 월정리 해변은 일정한 높이의 파도가 지속적으로 들어오기 때문에 서핑을 하기에 좋아 서퍼들이 즐겨찾는다.  제주도 올레길 20코스 '김녕-하도 올레'와 ‘김녕-월정 지질트레일 코스’의 일부여서,  뚜벅이 여행객들이 걷다가 바다의 아름다운 풍경과 시원한 바다 내음을 맡으며 쉴수 있는 아름다운 해변이다.  ",제주특별자치도 제주시 구좌읍 해맞이해안로 480-1,(+82) 064-728-3394,#해변 #경관/포토 #커플 #여름,126.7983764,33.55462336,구좌읍,"['해변', '경관/포토', '커플', '여름']",4,no,no,no,no,no,no,no
함덕해수욕장,에매랄드처럼 빛나는 '한국의 몰디브',함덕 종합상황실: 064-728-3989(해수욕장 개장기간 2018.06.23~09.02 동안 운영),,,,,,,,"공용주차장,화장실,편의점,음료대,유도 및 안내시설,경보 및 피난시설",,"제주올레 19코스를 걷다 보면 에메랄드빛 보석을 품고 있는 함덕해수욕장을 만날 수 있다. 제주시 조천읍 함덕리에 자리한 함덕해수욕장은 해수욕장 바로 옆에 우뚝선 오름(서우봉) 덕분에 ‘함덕서우봉해변’이라고도 불린다. 제주공항에서 불과 20km 떨어졌지만, 이곳에 도착하는 순간 다른 나라에 온 것 같은 기분이 든다. 입구부터 환영해주는 키 큰 야자수들, 하얀 모래와 대조를 이루는 에메랄드빛 바다,  모래와 미역마저 투명하게 비춰주는 맑은 물과 하얀 파도가 그러하다.제주도 수많은 해수욕장 중에서도, 바다색이 가장 예쁜 3곳을 꼽는다면 단연 협재, 김녕, 그리고 함덕해수욕장이다. 물이 맑고 수심이 얕아서 가족단위 피서지로도 좋다. 해수욕장 서쪽은 구름다리로 연결되어 있어 바다 위를 걷는 듯한 경험을 할 수 있다. 피크닉 하기 좋은 잔디밭, 밤에도 안심하고 바다를 즐길 수 있는 산책로가 매력이어서 사계절 찾는 이들의 발길이 끊이지 않는다. 특히 여름에는 야간개장도 하고 있어 제주의 푸른 밤을 바다에서 즐길 수 있다. 바로 옆에 자리한 서우봉은 봄이 되면 노란 유채꽃으로 여름엔 초록빛으로 계절마다 그림 같은 풍경을 선사한다. 서우봉에 오르면 함덕해수욕장을 한눈에 담을 수 있는 호사를 누릴 수 있다. 날씨가 좋으면 한라산과 동쪽 오름들도 내려다볼 수 있는 최고의 전망포인트이다.주변 관광지로는 북촌 돌하르방공원, 너븐숭이4.3기념관, 조천만세동산, 김녕해수욕장, 만장굴 등이 있다. ",제주특별자치도 제주시 조천읍 조함해안로 519-10,(+82) 064-728-3989,#해수욕장 #액티비티 #아이 #맑음 #여름,126.66870990000001,33.54370227,조천읍,"['해수욕장', '액티비티', '아이', '맑음', '여름']",5,no,no,no,no,no,no,no
산굼부리,"사계절마다 다른풍경의 '분화구 식물원', 국가지정 문화재 천연기념물 263호",3월-10월 개장 09:00 매표마감 18:00 / 11월-2월 개장 09:00 매표마감 : 17:00 / 관람시간: 40분 / 연중무휴,"평일 : 09:00 ~ 18:00 , 주말 : 09:00 ~ 18:00","유료,성인 6.000원/ 청소년,경로,장애인 4.000원/ 어린이 3.000원",실외,등산,"산책로, 등산로",1~2시간,상,"공용주차장,현금결제,카드결제,화장실,편의점,음료대",우수관광사업체,"산굼부리는 제주특별자치도의 천연기념물 제263호로 지정된 분화구이다. '굼부리'는 화산체의 분화구를 일컫는 제주말이다. 360여개의 한라산 기생화산 중의 하나이지만, 다른 기생화산들과는 달리 커다란 분화구를 가지고 있는데, 산체에 비해서 화구의 크기가 비교적 큰 편이라는 점에서 특이하다.이곳은 다양한 희귀식물들이 한 공간에 존재하는 '분화구 식물원'이기도 하다. 산굼부리의 식생은 한라산 동부의 원식생을 유추할 수 있는 중요한 단서가 되기 때문에 보호되고 있기도 하다. 지질학적 가치 또한 높아 여러 방면에서 학문적 가치가 상당한 곳이라고 할 수 있다.가파르지 않은 길을 쭉 올라가다 보면 금세 정상에 닿게 되는데, 정상에 비치되어 있는 망원경으로 주변의 성산일출봉과 오름들을 비롯한 다양한 경관을 좀 더 자세하게 눈에 담을 수 있다.가을의 산굼부리에는 바람을 맞으며 억새밭에 서서 제주의 가을을 만끽하는 사람들로 붐빈다. 가득 피어난 억새가 이루는 은빛 물결이 푸른 하늘과 어우러지며 멋진 경관을 연출해낸다. 그러나 가을뿐만 아니라 모든 계절마다 각자의 계절을 맞은 다양한 식물들이 피어나며 사계절 내내 새로운 풍경이 펼쳐지기 때문에, 사계절 중 어느 계절에 방문하든 멋진 경관이 눈앞에 펼쳐질 것이다.",제주특별자치도 제주시 조천읍 비자림로 768,(+82) 064-783-9900,#오름 #걷기/등산 #친구 #맑음 #가을 #우수관광사업체,126.68850400000001,33.43487354,조천읍,"['오름', '걷기/등산', '친구', '맑음', '가을', '우수관광사업체']",6,yes,no,yes,yes,no,yes,no
새별오름,제주 서부 애월에 위치해 있으며 억새가 아름다운 오름,연중무휴(산불예방 입산통제기간 없음),,,,,,,,"공용주차장,화장실,유도 및 안내시설",,"오름은 주소가 산지로 되어있어, 내비게이션 검색시 정확한 위치를 알 수 없거나, 주차장이 따로 없는 곳이 많습니다.또한 일부 오름은 사유지로, 출입이 제한되거나 통제되어있는 곳도 있습니다.이에, 오름 방문시에는 사전에 제주관광정보센터(064-740-6000) 등을 통해 정확한 정보를 확인하시고 방문하시기 바랍니다.새별오름은 바리메오름·누운오름·당오름·금오름 등 많은 오름이 있는 밀집해있는 서부 중산간 오름지대 중에서 으뜸가는 서부의 대표오름이다. 저녁하늘에 샛별과 같이 외롭게 서있다 하여 붙여진 이름이라 한다. 풍경이 아름답고, 성이시돌목장, 왕따나무가 근처에 있어 관광객이 많이 찾는 오름 중 하나다.경사가 약간 있으나 높이는 해발 519.3m(정상까지 소요시간은 30분 내외)로 그리 높지 않다. 정상에 오르면 제주도 서쪽 아름다운 해변과 비양도가 보인다. 남봉을 정점으로 남서, 북서, 북동 방향으로 등성이가 있으며, 등성이마다 봉우리가 있다. 서쪽은 삼태기 모양으로 넓게 열려 있고, 북쪽은 우묵하게 파여 있으며, 마치 별표처럼 둥그런 표창 같은 5개의 봉우리가 존재한다. 전체적으로 풀밭을 이루나 북쪽 사면에 일부 잡목이 형성되어 있고, 서북쪽 사면에 공동묘지가 조성되어 있다.새별오름에서는 매년 정월대보름을 전후하여 제주도를 대표하는 축제인 들불축제가 열린다. 제주도에서는 오래전부터 농한기에 소를 방목하기 위해 묵은 풀과 해충을 없애는 불놓기 문화가 있었다. 새별오름 들불축제는 이러한 목축문화를 계승한 축제로, 오름 전체가 불타오르는 모습이 장관이다. 1997년부터 시작하여, 2015년에는 문화체육관광부로부터 우수축제로 지정되었다. 가을에는 억새가 만발하여 장관을 연출한다. 사시사철 찾는 관광객이 많아 인근에 주차장이 잘 정비되어있다. ",제주특별자치도 제주시 애월읍 봉성리 산 59-8,(+82) 064-728-2752,#일몰 #밤 #오름 #걷기/등산 #아이 #봄,126.35528359999999,33.36721015,애월읍,"['일몰', '밤', '오름', '걷기/등산', '아이', '봄']",6,no,no,no,no,no,no,no
섭지코지,아름다운 해안이 일품인 섭지,연중무휴,"평일 : 00:00 ~ 00:00 , 주말 : 00:00 ~ 00:00","무료,입장료 무료 / 주차료 : 장애인 (500원)",실외,"등산,기타",산책로,1시간 미만,상,"공용주차장,현금결제,카드결제,화장실,편의점,음료대",,"제주 동부해안에 볼록 튀어나온 섭지코지는 성산 일출봉을 배경으로한 해안풍경이 일품이다.들머리의 신양해변백사장, 끝머리 언덕위 평원에 드리워진 유채밭, 여유롭게 풀을 뜯는 제주조랑말들, 바위로 둘러친 해안절벽과 우뚝 치솟은 전설어린 선바위 등은 전형적인 제주의 아름다움을 만날 수 있다. 특히 제주의 다른 해안과는 달리 송이라는 붉은 화산재로 되어 있고, 밀물과 썰물에 따라 물속에 잠겼다가 일어서는 기암괴석들은 어디에서도 볼 수 없는 자연의 수석전시회를 연출한다.섭지코지의 섭지란, 재사(才士)가 많이 배출되는 지세라는 뜻이며, 코지는 육지에서 바다로 톡 튀어나온 '곶'을 뜻하는 제주방언이다.역사나 과학의 배경지식을 갖고 보면 섭지코지를 더욱 풍부하게 관망할 수 있는데, 먼저, 화산송이 언덕 등대 근처에선, 조선시대 왜구의 침입을 알리던 봉수대를 볼 수 있다. 높이 4m, 가로세로 길이 약 9m의 봉수대는 그 모양이 거의 원형에 가깝게 보존되어 있어, 이를 사용해야 했을 조선시대의 위급상황을 떠올려보며 역사의 발자취를 떠올려 볼 수 있다.과학적인 시각에서 보면 화산폭발시 마그마가 분출되던 분화구의 중심부를 관찰 할 수 있는 훌륭한 자연학습의 장이기도 하다.섭지코지는 바로 이 화도에서 분출된 스코리아(분석)가 쌓인 것이며, 선돌바위는 그 화도에 있던 마그마가 굳어져 형성된 암경(volcanic neck)으로 섭지코지에서는 스코리아와 암겸 관찰을 통해 화산폭발시 육지의 형성과정을 간접적으로 상상해볼수 있다. 반면, 선돌바위에는 아래와 같은 슬픈 전설도 전해내려온다. 하늘에서 내려온 선녀에게 반한 동해 용왕신의 막내 아들은 100일 정성이 부족하여 선녀와의 혼인을 이루지 못하게 되었다.슬픔에 빠진 그는 하늘에서 선녀가 내려와 주기만을 기다리고 기다리다 그 자리에 선채로 돌이 되어 버렸다 한다.사랑을 이루지 못한 용왕신의 아들의 애틋한 마음때문인지 선돌 앞에서 사랑의 맹세를 하고 혼인을 하면 훌륭한 자녀를 얻을 수 있다는 전설이 전해진다. ",제주특별자치도 서귀포시 성산읍 고성리,(+82) 064-740-6000,#일출 #해변 #경관/포토 #커플 #맑음 #가을,126.9082695,33.44931659,성산읍,"['일출', '해변', '경관/포토', '커플', '맑음', '가을']",6,yes,no,yes,yes,no,no,no
